2740,天  蔥
6708,天  擎
6225,天  瀚
6834,天二科
6793,天力離
6784,天凱科
5251,天鉞電
2511,太  子
5302,太  欣
2506,太  設
4934,太  極
4126,太  醫
2440,太空梭
6833,太康精
3284,太普高
4157,太景KY
1326,台  化
9902,台  火
5425,台  半
5878,台  名
2340,台  亞
1722,台  肥
1310,台  苯
1101,台  泥
5353,台  林
1473,台  南
1802,台  玻
8039,台  虹
6269,台  郡
2617,台  航
8011,台  通
2832,台  產
2208,台  船
8329,台  視
1454,台  富
2314,台  揚
1301,台  塑
8476,台  境
1220,台  榮
6580,台  睿
3432,台  端
1304,台  聚
2103,台  橡
1336,台  翰
3426,台  興
6274,台  燿
4746,台  耀
2636,台  驊
1742,台  蠟
2812,台中銀
6649,台生材
2383,台光電
8926,台汽電
6278,台表科
5906,台南KY
3265,台星科
54,台商50
6589,台康生
3532,台勝科
1309,台達化
2308,台達電
4772,台特化
6505,台塑化
6767,台微醫
4152,台微體
2887,台新金
6838,台新藥
3221,台嘉碩
6464,台數科
2330,台積電
4905,台聯電
5601,台聯櫃
6892,台寶生
50,台灣50
3045,台灣大
4583,台灣精
5490,同  亨
5460,同  協
3321,同  泰
3552,同  致
911868,同方友
6271,同欣電
2358,廷  鑫
8492,兔  將
4536,拓  凱
2035,唐  榮
4609,唐  鋒
1218,泰  山
3339,泰  谷
4169,泰  宗
2230,泰  茂
3064,泰  偉
4736,泰  博
6266,泰  詠
3338,泰  碩
9927,泰  銘
2102,泰  豐
6750,泰  創
9105,泰金寶
6629,泰金KY
4927,泰鼎KY
6541,泰福KY
911622,泰聚亨
8289,泰藝電
2908,特  力
6616,特昇KY
4730,通  用
5487,通  泰
3588,通  嘉
6404,通訊KY
6428,淘  米
2929,淘帝KY
2750,桃  禧
1522,堤維西
4972,湯  石
6170,統  振
1216,統  一
6426,統  新
2910,統  領
2434,統  懋
2912,統一超
9907,統一實
2855,統一證
8027,鈦  昇
1724,臺  硝
6246,臺  龍
1737,臺  鹽
2834,臺企銀
AU9901,臺銀金
3357,臺慶科
4168,醣  聯
6586,醣  基
6672,騰輝KY
6870,騰雲新
3317,尼克森
6230,尼得科
3117,年  程
1451,年  興
6612,奈米醫
6504,南  六
1303,南  亞
1752,南  光
8150,南  茂
5450,南  良
6584,南  俊
2108,南  帝
1410,南  染
1440,南  紡
2101,南  港
8046,南  電
1702,南  僑
4712,南  璋
1467,南  緯
4766,南  寶
5905,南仁湖
2408,南亞科
6495,納諾KY
8071,能率豐
2316,楠梓電
2913,農  林
6844,諾貝兒
6867,坦  德
6854,奈創KY
4923,力  士
1515,力  山
6239,力  成
3529,力  旺
1570,力  肯
5520,力  泰
3051,力  特
3483,力  致
5202,力  新
3593,力  銘
1447,力  鵬
5512,力  麒
1444,力  麗
6719,力  智
4552,力達KY
6770,力積電
5364,力麗店
2732,六  角
2705,六  福
2115,六暉KY
1780,立  弘
1443,立  益
6242,立  康
6175,立  敦
5262,立  達
6245,立  端
3058,立  德
6597,立  誠
5344,立  衛
4968,立  積
2472,立隆電
5227,立凱KY
3054,立萬利
8111,立碁電
2741,老四川
5704,老爺知
6290,良  維
2462,良得電
1517,利  奇
1293,利  統
4426,利  勤
3444,利  機
1423,利  華
7578,利百景
3066,李  洲
6848,拉法醫
6799,來  頡
8066,來思達
2349,錸  德
8104,錸  寶
8077,洛  碁
3354,律  勝
8105,凌  巨
6166,凌  華
4952,凌  通
2401,凌  陽
5236,凌  陽
3135,凌  航
2453,凌  群
5212,凌  網
2482,連  宇
3710,連  展
6820,連  訊
6818,連  騰
6755,連鋐科
5603,陸  海
2364,倫  飛
2369,菱  生
8249,菱  光
9949,琉  園
5519,隆  大
6542,隆  中
6212,理  銘
6526,絡  達
8033,雷  虎
6207,雷  科
6493,雷虎生
5230,雷笛克
3029,零  壹
4946,辣  椒
6846,綠  茵
2596,綠  意
6763,綠  界
8440,綠  電
8444,綠河KY
1529,樂  事
7584,樂  意
2599,樂  揚
6891,樂  迦
6662,樂斯科
4154,樂威科
6814,路  迦
2758,路易莎
5464,霖  宏
2362,藍  天
4113,聯  上
3576,聯 合
4129,聯 合
1313,聯  成
3081,聯  亞
6562,聯亞藥
3678,聯  享
2431,聯  昌
6213,聯  茂
3585,聯  致
1229,聯  華
2347,聯  強
3014,聯  陽
3094,聯  傑
1459,聯  發
2756,聯  發
3034,聯  詠
6658,聯  策
3450,聯  鈞
2303,聯  電
6288,聯  嘉
8497,聯  廣
3308,聯  德
3550,聯  穎
6821,聯  寶
3441,聯一光
2537,聯上發
7610,聯友金
4903,聯光通
2838,聯邦銀
1231,聯華食
2454,聯發科
4912,聯德KY
2514,龍  邦
5267,龍  翩
5530,龍  巖
6753,龍  德
2424,隴  華
6609,瀧澤科
8374,羅  昇
6666,羅麗芬
2302,麗  正
6539,麗  彤
3346,麗  清
2465,麗  臺
2911,麗嬰房
4137,麗豐KY
3438,類比科
6165,浪  凡
6823,濾  能
5246,勵  威
5521,工  信
8119,公  信
3178,公  準
6028,公  勝
4420,光  明
6595,光  禹
8032,光  菱
8916,光  隆
6226,光 鼎
6850,光 鼎
2338,光  罩
6442,光  聖
4956,光  鋐
3624,光  頡
2340,光  磊
3234,光  環
5315,光  聯
3666,光  耀
1785,光洋科
7561,光晟生
4581,光隆KY
2461,光群雷
6431,光麗KY
2301,光寶科
6617,共信KY
3607,谷  崧
2423,固  緯
2017,官田鋼
8354,冠  好
1806,冠  軍
2520,冠  德
6758,冠  亞
4439,冠星KY
2466,冠西電
6554,冠科KY
2546,根  基
6146,耕  興
1524,耿  鼎
8996,高  力
5439,高  技
2906,高  林
6234,高  僑
4510,高  鋒
6547,高  端
2633,高  鐵
4773,高  福
4573,高明鐵
56,高股息
1531,高林股
2836,高雄銀
2008,高興昌
1269,乾  杯
1713,國  化
2327,國  巨
6875,國  邑
2501,國  建
2504,國  產
5410,國  眾
1312,國  喬
2505,國  揚
8936,國  統
4132,國  鼎
2406,國  碩
2704,國  賓
4142,國光生
2882,國泰金
2889,國票金
4754,國碳科
4722,國精化
8472,夠麻吉
3093,港  建
2328,廣  宇
6188,廣  明
1537,廣  隆
4438,廣  越
6125,廣  運
2382,廣  達
8050,廣  積
4973,廣  穎
6441,廣  錠
1416,廣  豐
